name of state / ut,active cases,cured/discharged/migrated,deceased,total confirmed cases,date,latitude,longitude
Andaman and Nicobar Islands,70,93,0,163,2020-07-12,11.7401,92.6586
Andhra Pradesh,12533,14393,309,27235,2020-07-12,15.9129,79.74
Arunachal Pradesh,214,125,2,341,2020-07-12,28.218,94.7278
Assam,6351,9150,35,15536,2020-07-12,26.2006,92.9376
Bihar,4557,10685,131,15373,2020-07-12,25.0961,85.3131
Chandigarh,135,413,7,555,2020-07-12,30.7333,76.7794
Chhattisgarh,810,3070,17,3897,2020-07-12,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,245,226,0,471,2020-07-12,20.1809,73.0169
Delhi,19895,87692,3334,110921,2020-07-12,28.7041,77.1025
Goa,928,1428,12,2368,2020-07-12,15.2993,74.124
Gujarat,10260,28649,2032,40941,2020-07-12,22.2587,71.1924
Haryana,4891,15394,297,20582,2020-07-12,29.0588,76.0856
Himachal Pradesh,263,908,11,1182,2020-07-12,31.1048,77.1734
Jammu and Kashmir,4092,5895,169,10156,2020-07-12,33.7782,76.5762
Jharkhand,1347,2243,23,3613,2020-07-12,23.6102,85.2799
Karnataka,20887,14716,613,36216,2020-07-12,15.3173,75.7139
Kerala,3446,3963,29,7438,2020-07-12,10.8505,76.2711
Ladakh,148,928,1,1077,2020-07-12,34.2996,78.2932
Madhya Pradesh,3878,12679,644,17201,2020-07-12,22.9734,78.6569
Maharashtra,99499,136985,10116,246600,2020-07-12,19.7515,75.7139
Manipur,750,843,0,1593,2020-07-12,24.6637,93.9063
Meghalaya,139,66,2,207,2020-07-12,25.467,91.3662
Mizoram,77,150,0,227,2020-07-12,23.1645,92.9376
Nagaland,435,313,0,748,2020-07-12,26.1584,94.5624
Odisha,4105,8360,61,12526,2020-07-12,20.9517,85.0985
Puducherry,629,690,18,1337,2020-07-12,11.9416,79.8083
Punjab,2352,5040,195,7587,2020-07-12,31.1471,75.3412
Rajasthan,5376,17869,503,23748,2020-07-12,27.0238,74.2179
Sikkim,71,80,0,151,2020-07-12,27.533,88.5122
Tamil Nadu,46413,85915,1898,134226,2020-07-12,11.1271,78.6569
Telangana,12135,20919,348,33402,2020-07-12,18.1124,79.0193
Tripura,572,1375,2,1949,2020-07-12,23.9408,91.9882
Uttarakhand,653,2718,46,3417,2020-07-12,30.0668,79.0193
Uttar Pradesh,11490,22689,913,35092,2020-07-12,26.8467,80.9462
West Bengal,9588,17959,906,28453,2020-07-12,22.9868,87.855
