name of state / ut,active cases,cured/discharged/migrated,deceased,total confirmed cases,date,latitude,longitude,mortality_rate,recovery_rate
Andaman and Nicobar Islands,70,93,0,163,2020-07-13,11.7401,92.6586,0.0,0.5705521472392638
Andhra Pradesh,13428,15412,328,29168,2020-07-13,15.9129,79.74,0.011245200219418541,0.5283872737246297
Arunachal Pradesh,219,138,2,359,2020-07-13,28.218,94.7278,0.005571030640668524,0.38440111420612816
Assam,5610,10426,35,16071,2020-07-13,26.2006,92.9376,0.002177835853400535,0.6487461887872565
Bihar,5001,11498,143,16642,2020-07-13,25.0961,85.3131,0.008592717221487802,0.6909025357529143
Chandigarh,134,417,8,559,2020-07-13,30.7333,76.7794,0.014311270125223614,0.7459749552772809
Chhattisgarh,887,3153,19,4059,2020-07-13,21.2787,81.8661,0.004680955900468096,0.7767923133776792
Dadra and Nagar Haveli and Daman and Diu,234,245,0,479,2020-07-13,20.1809,73.0169,0.0,0.511482254697286
Delhi,19155,89968,3371,112494,2020-07-13,28.7041,77.1025,0.02996604263338489,0.7997582093267196
Goa,952,1487,14,2453,2020-07-13,15.2993,74.124,0.005707297187117815,0.6061964940888708
Gujarat,10613,29162,2045,41820,2020-07-13,22.2587,71.1924,0.04890004782400765,0.6973218555714968
Haryana,4956,15983,301,21240,2020-07-13,29.0588,76.0856,0.014171374764595103,0.7524952919020715
Himachal Pradesh,273,929,11,1213,2020-07-13,31.1048,77.1734,0.009068425391591096,0.7658697444352844
Jammu and Kashmir,4355,5979,179,10513,2020-07-13,33.7782,76.5762,0.017026538571292684,0.5687244364120613
Jharkhand,1418,2308,30,3756,2020-07-13,23.6102,85.2799,0.007987220447284345,0.6144834930777423
Karnataka,22750,15409,684,38843,2020-07-13,15.3173,75.7139,0.017609350462116726,0.39669953402157404
Kerala,3747,4095,31,7873,2020-07-13,10.8505,76.2711,0.00393750793852407,0.5201320970405182
Ladakh,157,928,1,1086,2020-07-13,34.2996,78.2932,0.0009208103130755065,0.85451197053407
Madhya Pradesh,4103,12876,653,17632,2020-07-13,22.9734,78.6569,0.03703493647912886,0.7302631578947368
Maharashtra,103813,140325,10289,254427,2020-07-13,19.7515,75.7139,0.040439890420434936,0.5515334457427867
Manipur,713,896,0,1609,2020-07-13,24.6637,93.9063,0.0,0.5568676196395277
Meghalaya,238,66,2,306,2020-07-13,25.467,91.3662,0.006535947712418301,0.21568627450980393
Mizoram,81,150,0,231,2020-07-13,23.1645,92.9376,0.0,0.6493506493506493
Nagaland,447,327,0,774,2020-07-13,26.1584,94.5624,0.0,0.42248062015503873
Odisha,4307,8750,64,13121,2020-07-13,20.9517,85.0985,0.004877677006325737,0.666869903208597
Puducherry,661,739,18,1418,2020-07-13,11.9416,79.8083,0.012693935119887164,0.5211565585331452
Punjab,2230,5392,199,7821,2020-07-13,31.1471,75.3412,0.02544431658355709,0.689425904615778
Rajasthan,5779,18103,510,24392,2020-07-13,27.0238,74.2179,0.020908494588389635,0.742169563791407
Sikkim,72,81,0,153,2020-07-13,27.533,88.5122,0.0,0.5294117647058824
Tamil Nadu,46972,89532,1966,138470,2020-07-13,11.1271,78.6569,0.01419802123203582,0.646580486748032
Telangana,11833,22482,356,34671,2020-07-13,18.1124,79.0193,0.010267947275821292,0.6484381759972311
Tripura,631,1421,2,2054,2020-07-13,23.9408,91.9882,0.0009737098344693282,0.6918208373904576
Uttarakhand,704,2786,47,3537,2020-07-13,30.0668,79.0193,0.013288097257562907,0.7876731693525587
Uttar Pradesh,12208,23334,934,36476,2020-07-13,26.8467,80.9462,0.02560587783748218,0.639708301348832
West Bengal,10500,18581,932,30013,2020-07-13,22.9868,87.855,0.031053210275547263,0.6190983906973645
