,date,state,confirmed,deceased,recovered
0,01-Apr-20,AN,0,0,0
1,01-Apr-20,AP,67,0,1
2,01-Apr-20,AR,0,0,0
3,01-Apr-20,AS,15,0,0
4,01-Apr-20,BR,3,0,0
5,01-Apr-20,CH,2,0,0
6,01-Apr-20,CT,0,0,0
7,01-Apr-20,DD,0,0,0
8,01-Apr-20,DL,32,0,0
9,01-Apr-20,DN,0,0,0
10,01-Apr-20,GA,0,0,0
11,01-Apr-20,GJ,13,0,0
12,01-Apr-20,HP,0,0,0
13,01-Apr-20,HR,0,0,10
14,01-Apr-20,JH,0,0,0
15,01-Apr-20,JK,7,0,1
16,01-Apr-20,KA,9,0,1
17,01-Apr-20,KL,24,0,2
18,01-Apr-20,LA,0,0,0
19,01-Apr-20,LD,0,0,0
20,01-Apr-20,MH,33,3,0
21,01-Apr-20,ML,0,0,0
22,01-Apr-20,MN,0,0,0
23,01-Apr-20,MP,32,1,0
24,01-Apr-20,MZ,0,0,0
25,01-Apr-20,NL,0,0,0
26,01-Apr-20,OR,1,0,1
27,01-Apr-20,PB,4,0,0
28,01-Apr-20,PY,2,0,0
29,01-Apr-20,RJ,27,0,0
30,01-Apr-20,SK,0,0,0
31,01-Apr-20,TG,30,3,0
32,01-Apr-20,TN,110,0,0
33,01-Apr-20,TR,0,0,0
34,01-Apr-20,TT,424,9,16
35,01-Apr-20,UN,0,0,0
36,01-Apr-20,UP,13,2,0
37,01-Apr-20,UT,0,0,0
38,01-Apr-20,WB,0,0,0
39,01-Jul-20,AN,3,0,5
40,01-Jul-20,AP,657,6,477
41,01-Jul-20,AR,4,0,4
42,01-Jul-20,AS,548,0,184
43,01-Jul-20,BR,216,5,267
44,01-Jul-20,CH,6,0,3
45,01-Jul-20,CT,82,1,53
46,01-Jul-20,DD,0,0,0
47,01-Jul-20,DL,2442,61,1644
48,01-Jul-20,DN,16,0,27
49,01-Jul-20,GA,72,1,74
50,01-Jul-20,GJ,675,21,368
51,01-Jul-20,HP,26,0,42
52,01-Jul-20,HR,393,4,527
53,01-Jul-20,JH,35,0,47
54,01-Jul-20,JK,198,4,134
55,01-Jul-20,KA,1272,7,145
56,01-Jul-20,KL,151,1,132
57,01-Jul-20,LA,17,0,46
58,01-Jul-20,LD,0,0,0
59,01-Jul-20,MH,5537,198,2243
60,01-Jul-20,ML,2,0,0
61,01-Jul-20,MN,26,0,26
62,01-Jul-20,MP,268,9,260
63,01-Jul-20,MZ,0,0,1
64,01-Jul-20,NL,42,0,14
65,01-Jul-20,OR,251,1,164
66,01-Jul-20,PB,100,5,122
67,01-Jul-20,PY,25,0,29
68,01-Jul-20,RJ,304,8,354
69,01-Jul-20,SK,1,0,2
70,01-Jul-20,TG,1018,7,788
71,01-Jul-20,TN,3882,63,2852
72,01-Jul-20,TR,8,0,1
73,01-Jul-20,TT,19429,438,12064
74,01-Jul-20,UN,-89,0,0
75,01-Jul-20,UP,564,21,545
76,01-Jul-20,UT,66,0,86
77,01-Jul-20,WB,611,15,398
78,01-Jun-20,AN,0,0,0
79,01-Jun-20,AP,105,2,34
80,01-Jun-20,AR,18,0,0
81,01-Jun-20,AS,146,0,99
82,01-Jun-20,BR,138,0,221
83,01-Jun-20,CH,4,0,15
84,01-Jun-20,CT,49,0,7
85,01-Jun-20,DD,0,0,0
86,01-Jun-20,DL,990,50,268
87,01-Jun-20,DN,1,0,0
88,01-Jun-20,GA,2,0,6
89,01-Jun-20,GJ,423,25,861
90,01-Jun-20,HP,9,0,2
91,01-Jun-20,HR,265,1,7
92,01-Jun-20,JH,26,0,40
93,01-Jun-20,JK,155,3,19
94,01-Jun-20,KA,187,1,100
95,01-Jun-20,KL,57,1,18
96,01-Jun-20,LA,0,0,0
97,01-Jun-20,LD,0,0,0
98,01-Jun-20,MH,2358,76,779
99,01-Jun-20,ML,1,0,0
100,01-Jun-20,MN,12,0,0
101,01-Jun-20,MP,194,8,161
102,01-Jun-20,MZ,0,0,0
103,01-Jun-20,NL,0,0,0
104,01-Jun-20,OR,156,0,119
105,01-Jun-20,PB,38,-1,13
106,01-Jun-20,PY,9,0,0
107,01-Jun-20,RJ,269,5,181
108,01-Jun-20,SK,0,0,0
109,01-Jun-20,TG,94,6,63
110,01-Jun-20,TN,1162,11,413
111,01-Jun-20,TR,107,0,0
112,01-Jun-20,TT,7723,201,3882
113,01-Jun-20,UN,139,0,0
114,01-Jun-20,UP,286,5,187
115,01-Jun-20,UT,52,0,120
116,01-Jun-20,WB,271,8,149
117,01-May-20,AN,0,0,0
118,01-May-20,AP,60,2,82
119,01-May-20,AR,0,0,0
120,01-May-20,AS,0,0,4
121,01-May-20,BR,41,1,14
122,01-May-20,CH,14,0,0
123,01-May-20,CT,3,0,0
124,01-May-20,DD,0,0,0
125,01-May-20,DL,223,2,73
126,01-May-20,DN,0,0,0
127,01-May-20,GA,0,0,0
128,01-May-20,GJ,326,22,123
129,01-May-20,HP,0,0,2
130,01-May-20,HR,18,0,6
131,01-May-20,JH,3,0,2
132,01-May-20,JK,25,0,31
133,01-May-20,KA,24,0,22
134,01-May-20,KL,0,0,9
135,01-May-20,LA,0,0,0
136,01-May-20,LD,0,0,0
137,01-May-20,MH,1008,26,106
138,01-May-20,ML,0,0,10
139,01-May-20,MN,0,0,0
140,01-May-20,MP,90,8,42
141,01-May-20,MZ,0,0,0
142,01-May-20,NL,0,0,0
143,01-May-20,OR,11,0,14
144,01-May-20,PB,105,0,4
145,01-May-20,PY,0,0,0
146,01-May-20,RJ,82,4,223
147,01-May-20,SK,0,0,0
148,01-May-20,TG,6,0,22
149,01-May-20,TN,203,1,54
150,01-May-20,TR,0,0,0
151,01-May-20,TT,2396,77,962
152,01-May-20,UN,0,0,0
153,01-May-20,UP,117,2,103
154,01-May-20,UT,0,1,1
155,01-May-20,WB,37,8,15
156,02-Apr-20,AN,0,0,0
157,02-Apr-20,AP,38,0,0
158,02-Apr-20,AR,1,0,0
159,02-Apr-20,AS,0,0,0
160,02-Apr-20,BR,5,0,3
161,02-Apr-20,CH,1,0,0
162,02-Apr-20,CT,0,0,1
163,02-Apr-20,DD,0,0,0
164,02-Apr-20,DL,141,2,2
165,02-Apr-20,DN,0,0,0
166,02-Apr-20,GA,0,0,0
167,02-Apr-20,GJ,1,1,5
168,02-Apr-20,HP,3,0,0
169,02-Apr-20,HR,6,0,0
170,02-Apr-20,JH,1,0,0
171,02-Apr-20,JK,8,0,1
172,02-Apr-20,KA,14,0,2
173,02-Apr-20,KL,21,0,2
174,02-Apr-20,LA,0,0,0
175,02-Apr-20,LD,0,0,0
176,02-Apr-20,MH,88,8,3
177,02-Apr-20,ML,0,0,0
178,02-Apr-20,MN,1,0,0
179,02-Apr-20,MP,9,2,0
180,02-Apr-20,MZ,0,0,0
181,02-Apr-20,NL,0,0,0
182,02-Apr-20,OR,0,0,0
183,02-Apr-20,PB,1,1,0
184,02-Apr-20,PY,2,0,0
185,02-Apr-20,RJ,13,0,0
186,02-Apr-20,SK,0,0,0
187,02-Apr-20,TG,27,0,3
188,02-Apr-20,TN,75,0,0
189,02-Apr-20,TR,0,0,0
190,02-Apr-20,TT,486,14,22
191,02-Apr-20,UN,0,0,0
192,02-Apr-20,UP,11,0,0
193,02-Apr-20,UT,3,0,0
194,02-Apr-20,WB,16,0,0
195,02-Jul-20,AN,9,0,1
196,02-Jul-20,AP,845,5,325
197,02-Jul-20,AR,37,0,5
198,02-Jul-20,AS,479,2,275
199,02-Jul-20,BR,478,5,183
200,02-Jul-20,CH,4,0,22
201,02-Jul-20,CT,73,0,59
202,02-Jul-20,DD,0,0,0
203,02-Jul-20,DL,2373,61,3015
204,02-Jul-20,DN,25,0,3
205,02-Jul-20,GA,95,0,64
206,02-Jul-20,GJ,681,19,563
207,02-Jul-20,HP,35,0,15
208,02-Jul-20,HR,568,11,520
209,02-Jul-20,JH,60,0,57
210,02-Jul-20,JK,154,10,118
211,02-Jul-20,KA,1502,19,271
212,02-Jul-20,KL,160,0,202
213,02-Jul-20,LA,1,0,35
214,02-Jul-20,LD,0,0,0
215,02-Jul-20,MH,6328,125,8018
216,02-Jul-20,ML,3,0,1
217,02-Jul-20,MN,19,0,37
218,02-Jul-20,MP,245,8,160
219,02-Jul-20,MZ,2,0,3
220,02-Jul-20,NL,34,0,15
221,02-Jul-20,OR,229,2,149
222,02-Jul-20,PB,116,3,155
223,02-Jul-20,PY,63,0,30
224,02-Jul-20,RJ,350,9,374
225,02-Jul-20,SK,12,0,0
226,02-Jul-20,TG,1213,8,987
227,02-Jul-20,TN,4343,57,3095
228,02-Jul-20,TR,39,0,53
229,02-Jul-20,TT,21947,378,19999
230,02-Jul-20,UN,-83,0,0
231,02-Jul-20,UP,769,17,592
232,02-Jul-20,UT,37,1,88
233,02-Jul-20,WB,649,16,509
234,02-Jun-20,AN,0,0,0
235,02-Jun-20,AP,115,0,40
236,02-Jun-20,AR,2,0,0
237,02-Jun-20,AS,74,0,53
238,02-Jun-20,BR,151,1,62
239,02-Jun-20,CH,4,1,0
240,02-Jun-20,CT,15,1,9
241,02-Jun-20,DD,0,0,0
242,02-Jun-20,DL,1298,33,497
243,02-Jun-20,DN,0,0,0
244,02-Jun-20,GA,6,0,7
245,02-Jun-20,GJ,415,29,1114
